"KB_ID","System","Category","Issue_Title","User_Utterance_Variants","Keywords","Required_Information","Approved_Answer","Followup_Question","Action_Type","Severity","Escalation_Rule","Owner","Confidence_Level","Review_Status","Is_Active","Last_Reviewed","Agent_Guardrail","Source_Row"
"KB-001","DSS","Access & Identity","ขอปลดล็อก User ในระบบ DSS","ขอปลดล็อก User ในระบบ DSS | ขอปลดล็อก User ในระบบ DSS | ขอปลดล็อก User ในDSS","DSS, Access & Identity, ขอปลดล็อก User  DSS, IT Helpdesk","Agent; Source; ชื่อ-นามสกุล","กรุณาเปิดคำขอผ่าน SysAid โดยเลือกหัวข้อ “ขอปลดล็อกบนระบบ DSS” และแนบ Agent, Source และชื่อ-นามสกุล","กรุณาแจ้ง: Agent; Source; ชื่อ-นามสกุล","Service Request","P3 Normal","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","High","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","1"
"KB-002","DSS","Access & Identity","ขอ Reset Password ในระบบ DSS","ขอ Reset Password ในระบบ DSS | ขอ Reset Password ในระบบ DSS | ขอ Reset Password ในDSS","DSS, Access & Identity, ขอ Reset Password  DSS, IT Helpdesk","Agent; Source; ชื่อ-นามสกุล","กรุณาเปิดคำขอผ่าน SysAid โดยเลือกหัวข้อ “เปลี่ยน Password บนระบบ DSS” และแนบ Agent, Source และชื่อ-นามสกุล","กรุณาแจ้ง: Agent; Source; ชื่อ-นามสกุล","Service Request","P3 Normal","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","High","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","2"
"KB-003","DSS","Access & Identity","ขอ User และ Password เพื่อเข้าใช้งานระบบ DSS","ขอ User และ Password เพื่อเข้าใช้งานระบบ DSS | ขอ User และ Password เพื่อเข้าใช้งานระบบ DSS | ขอ User และ Password เพื่อเข้าใช้งานDSS","DSS, Access & Identity, ขอ User และ Password เพื่อเข้าใช้งาน DSS, IT Helpdesk","Agent; Source; ชื่อ-นามสกุล; เบอร์โทรศัพท์; Email; เอกสารขอใช้งานระบบ DSS","กรุณาเปิดคำขอผ่าน SysAid โดยเลือกหัวข้อ “ขอเปิดใช้งานระบบ DSS เพื่อขายงาน” พร้อมแนบ Agent, Source, ชื่อ-นามสกุล, เบอร์โทรศัพท์, Email และเอกสารขอใช้งาน","กรุณาแจ้ง: Agent; Source; ชื่อ-นามสกุล; เบอร์โทรศัพท์; Email; เอกสารขอใช้งานระบบ DSS","Service Request","P3 Normal","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","High","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","3"
"KB-004","DSS","Access & Identity","เปลี่ยนเบอร์โทรศัพท์เพื่อรับ OTP เข้าสู่ระบบ DSS","เปลี่ยนเบอร์โทรศัพท์เพื่อรับ OTP เข้าสู่ระบบ DSS | เปลี่ยนเบอร์โทรศัพท์เพื่อรับ OTP เข้าสู่ระบบ DSS | เปลี่ยนเบอร์โทรศัพท์เพื่อรับ OTP เข้าสู่DSS","DSS, Access & Identity, เปลี่ยนเบอร์โทรศัพท์เพื่อรับ OTP เข้าสู่ DSS, IT Helpdesk","Agent; Source; ชื่อ-นามสกุล; เบอร์โทรศัพท์ใหม่","กรุณาเปิดคำขอผ่าน SysAid โดยเลือกหัวข้อ “แก้ไขเบอร์ส่ง OTP บนระบบ DSS” พร้อมแนบข้อมูลที่จำเป็น","กรุณาแจ้ง: Agent; Source; ชื่อ-นามสกุล; เบอร์โทรศัพท์ใหม่","Service Request","P3 Normal","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","High","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","4"
"KB-005","DSS","Access & Identity","เปลี่ยน Email เพื่อรับ OTP เข้าสู่ระบบ DSS","เปลี่ยน Email เพื่อรับ OTP เข้าสู่ระบบ DSS | เปลี่ยน Email เพื่อรับ OTP เข้าสู่ระบบ DSS | เปลี่ยน Email เพื่อรับ OTP เข้าสู่DSS","DSS, Access & Identity, เปลี่ยน Email เพื่อรับ OTP เข้าสู่ DSS, IT Helpdesk","Agent; Source; ชื่อ-นามสกุล; Email ใหม่","กรุณาเปิดคำขอผ่าน SysAid โดยเลือกหัวข้อ “แก้ไข Email ส่ง OTP บนระบบ DSS” พร้อมแนบข้อมูลที่จำเป็น","กรุณาแจ้ง: Agent; Source; ชื่อ-นามสกุล; Email ใหม่","Service Request","P3 Normal","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","High","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","5"
"KB-006","DSS","Master Data & Underwriting","เบี้ยประกันไม่ขึ้นในระบบ DSS","เบี้ยประกันไม่ขึ้นในระบบ DSS | เบี้ยประกันไม่ขึ้นในระบบ DSS | เบี้ยประกันไม่ขึ้นในDSS","DSS, Master Data & Underwriting, เบี้ยประกันไม่ขึ้น DSS, ฝ่ายรับประกันภัยรถยนต์","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “เบี้ยประกันไม่ขึ้นในระบบ DSS” โดย Agent จะไม่คาดเดาวิธีแก้ไข","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","P3 Normal","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","6"
"KB-007","DSS","System Incident","ระบบ DSS ช้า หมุนนาน หรือบันทึกงานไม่ได้","ระบบ DSS ช้า หมุนนาน หรือบันทึกงานไม่ได้ | ระบบ DSS ช้า หมุนนาน หรือบันทึกงานไม่ได้ | DSS ช้า หมุนนาน หรือบันทึกงานไม่ได้","DSS, System Incident, DSS ช้า หมุนนาน หรือบันทึกงานไม่ได้, IT / SA","ข้อความ Error; ภาพหน้าจอ; เวลาที่พบปัญหา; User/Agent/Source; ผลกระทบและจำนวนผู้ใช้งาน","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ระบบ DSS ช้า หมุนนาน หรือบันทึกงานไม่ได้” พร้อมแนบข้อมูลที่จำเป็น ทีม IT / SA จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","กรุณาแจ้ง: ข้อความ Error; ภาพหน้าจอ; เวลาที่พบปัญหา; User/Agent/Source; ผลกระทบและจำนวนผู้ใช้งาน","Incident","P2 High","เปิดเคสและส่งต่อ IT / SA","IT / SA","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","7"
"KB-008","DSS","General Support","OTP ไม่ส่งมาที่ Email หรือเบอร์โทรศัพท์ในระบบ DSS","OTP ไม่ส่งมาที่ Email หรือเบอร์โทรศัพท์ในระบบ DSS | OTP ไม่ส่งมาที่ Email หรือเบอร์โทรศัพท์ในระบบ DSS | OTP ไม่ส่งมาที่ Email หรือเบอร์โทรศัพท์ในDSS","DSS, General Support, OTP ไม่ส่งมาที่ Email หรือเบอร์โทรศัพท์ DSS, IT / SA","ข้อความ Error; ภาพหน้าจอ; เวลาที่พบปัญหา; User/Agent/Source; ผลกระทบและจำนวนผู้ใช้งาน","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “OTP ไม่ส่งมาที่ Email หรือเบอร์โทรศัพท์ในระบบ DSS” พร้อมแนบข้อมูลที่จำเป็น ทีม IT / SA จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","กรุณาแจ้ง: ข้อความ Error; ภาพหน้าจอ; เวลาที่พบปัญหา; User/Agent/Source; ผลกระทบและจำนวนผู้ใช้งาน","Incident","P3 Normal","เปิดเคสและส่งต่อ IT / SA","IT / SA","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","8"
"KB-009","DSS","Renewal","ต่ออายุบนระบบ DSS ไม่ได้","ต่ออายุบนระบบ DSS ไม่ได้ | ต่ออายุบนระบบ DSS ไม่ได้ | ต่ออายุบนDSS ไม่ได้","DSS, Renewal, ต่ออายุบน DSS ไม่ได้, IT Helpdesk","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ต่ออายุบนระบบ DSS ไม่ได้” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","P2 High","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","9"
"KB-010","DSS","Payment & Credit","ตัดวงเงินในระบบ DSS ไม่ได้","ตัดวงเงินในระบบ DSS ไม่ได้ | ตัดวงเงินในระบบ DSS ไม่ได้ | ตัดวงเงินในDSS ไม่ได้","DSS, Payment & Credit, ตัดวงเงิน DSS ไม่ได้, IT Helpdesk","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ตัดวงเงินในระบบ DSS ไม่ได้” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","P2 High","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","10"
