"KB_ID","Title","Issue_Title","System","Category","Keywords","Approved_Answer","Required_Information","Followup_Question","Action_Type","Escalation_Rule","Owner","Review_Status","Is_Active"
"KB-001","KB-001","ขอปลดล็อก User ในระบบ DSS","DSS","Access & Identity","DSS, Access & Identity, ขอปลดล็อก User  DSS, IT Helpdesk","กรุณาเปิดคำขอผ่าน SysAid โดยเลือกหัวข้อ “ขอปลดล็อกบนระบบ DSS” และแนบ Agent, Source และชื่อ-นามสกุล","Agent; Source; ชื่อ-นามสกุล","กรุณาแจ้ง: Agent; Source; ชื่อ-นามสกุล","Service Request","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-002","KB-002","ขอ Reset Password ในระบบ DSS","DSS","Access & Identity","DSS, Access & Identity, ขอ Reset Password  DSS, IT Helpdesk","กรุณาเปิดคำขอผ่าน SysAid โดยเลือกหัวข้อ “เปลี่ยน Password บนระบบ DSS” และแนบ Agent, Source และชื่อ-นามสกุล","Agent; Source; ชื่อ-นามสกุล","กรุณาแจ้ง: Agent; Source; ชื่อ-นามสกุล","Service Request","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-003","KB-003","ขอ User และ Password เพื่อเข้าใช้งานระบบ DSS","DSS","Access & Identity","DSS, Access & Identity, ขอ User และ Password เพื่อเข้าใช้งาน DSS, IT Helpdesk","กรุณาเปิดคำขอผ่าน SysAid โดยเลือกหัวข้อ “ขอเปิดใช้งานระบบ DSS เพื่อขายงาน” พร้อมแนบ Agent, Source, ชื่อ-นามสกุล, เบอร์โทรศัพท์, Email และเอกสารขอใช้งาน","Agent; Source; ชื่อ-นามสกุล; เบอร์โทรศัพท์; Email; เอกสารขอใช้งานระบบ DSS","กรุณาแจ้ง: Agent; Source; ชื่อ-นามสกุล; เบอร์โทรศัพท์; Email; เอกสารขอใช้งานระบบ DSS","Service Request","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-004","KB-004","เปลี่ยนเบอร์โทรศัพท์เพื่อรับ OTP เข้าสู่ระบบ DSS","DSS","Access & Identity","DSS, Access & Identity, เปลี่ยนเบอร์โทรศัพท์เพื่อรับ OTP เข้าสู่ DSS, IT Helpdesk","กรุณาเปิดคำขอผ่าน SysAid โดยเลือกหัวข้อ “แก้ไขเบอร์ส่ง OTP บนระบบ DSS” พร้อมแนบข้อมูลที่จำเป็น","Agent; Source; ชื่อ-นามสกุล; เบอร์โทรศัพท์ใหม่","กรุณาแจ้ง: Agent; Source; ชื่อ-นามสกุล; เบอร์โทรศัพท์ใหม่","Service Request","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-005","KB-005","เปลี่ยน Email เพื่อรับ OTP เข้าสู่ระบบ DSS","DSS","Access & Identity","DSS, Access & Identity, เปลี่ยน Email เพื่อรับ OTP เข้าสู่ DSS, IT Helpdesk","กรุณาเปิดคำขอผ่าน SysAid โดยเลือกหัวข้อ “แก้ไข Email ส่ง OTP บนระบบ DSS” พร้อมแนบข้อมูลที่จำเป็น","Agent; Source; ชื่อ-นามสกุล; Email ใหม่","กรุณาแจ้ง: Agent; Source; ชื่อ-นามสกุล; Email ใหม่","Service Request","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-006","KB-006","เบี้ยประกันไม่ขึ้นในระบบ DSS","DSS","Master Data & Underwriting","DSS, Master Data & Underwriting, เบี้ยประกันไม่ขึ้น DSS, ฝ่ายรับประกันภัยรถยนต์","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “เบี้ยประกันไม่ขึ้นในระบบ DSS” โดย Agent จะไม่คาดเดาวิธีแก้ไข","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Approved","Active"
"KB-007","KB-007","ระบบ DSS ช้า หมุนนาน หรือบันทึกงานไม่ได้","DSS","System Incident","DSS, System Incident, DSS ช้า หมุนนาน หรือบันทึกงานไม่ได้, IT / SA","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ระบบ DSS ช้า หมุนนาน หรือบันทึกงานไม่ได้” พร้อมแนบข้อมูลที่จำเป็น ทีม IT / SA จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","ข้อความ Error; ภาพหน้าจอ; เวลาที่พบปัญหา; User/Agent/Source; ผลกระทบและจำนวนผู้ใช้งาน","กรุณาแจ้ง: ข้อความ Error; ภาพหน้าจอ; เวลาที่พบปัญหา; User/Agent/Source; ผลกระทบและจำนวนผู้ใช้งาน","Incident","เปิดเคสและส่งต่อ IT / SA","IT / SA","Approved","Active"
"KB-008","KB-008","OTP ไม่ส่งมาที่ Email หรือเบอร์โทรศัพท์ในระบบ DSS","DSS","General Support","DSS, General Support, OTP ไม่ส่งมาที่ Email หรือเบอร์โทรศัพท์ DSS, IT / SA","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “OTP ไม่ส่งมาที่ Email หรือเบอร์โทรศัพท์ในระบบ DSS” พร้อมแนบข้อมูลที่จำเป็น ทีม IT / SA จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","ข้อความ Error; ภาพหน้าจอ; เวลาที่พบปัญหา; User/Agent/Source; ผลกระทบและจำนวนผู้ใช้งาน","กรุณาแจ้ง: ข้อความ Error; ภาพหน้าจอ; เวลาที่พบปัญหา; User/Agent/Source; ผลกระทบและจำนวนผู้ใช้งาน","Incident","เปิดเคสและส่งต่อ IT / SA","IT / SA","Approved","Active"
"KB-009","KB-009","ต่ออายุบนระบบ DSS ไม่ได้","DSS","Renewal","DSS, Renewal, ต่ออายุบน DSS ไม่ได้, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ต่ออายุบนระบบ DSS ไม่ได้” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-010","KB-010","ตัดวงเงินในระบบ DSS ไม่ได้","DSS","Payment & Credit","DSS, Payment & Credit, ตัดวงเงิน DSS ไม่ได้, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ตัดวงเงินในระบบ DSS ไม่ได้” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-011","KB-011","ไม่พบแคมเปญในระบบ DSS","DSS","Master Data & Underwriting","DSS, Master Data & Underwriting, ไม่พบแคมเปญ DSS, ฝ่ายรับประกันภัยรถยนต์","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ไม่พบแคมเปญในระบบ DSS” โดย Agent จะไม่คาดเดาวิธีแก้ไข","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Approved","Active"
"KB-012","KB-012","ต่ออายุประกันอุบัติเหตุ PA แล้วผู้รับผลประโยชน์ในหน้าตารางกรมธรรม์ไม่ครบ","DSS","Master Data & Underwriting","DSS, Master Data & Underwriting, ต่ออายุประกันอุบัติเหตุ PA แล้วผู้รับผลประโยชน์ในหน้าตารางกรมธรรม์ไม่ครบ, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ต่ออายุประกันอุบัติเหตุ PA แล้วผู้รับผลประโยชน์ในหน้าตารางกรมธรรม์ไม่ครบ” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Business Support","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-013","KB-013","ในระบบไม่มีเบี้ยตามอายุรถ","DSS","Master Data & Underwriting","DSS, Master Data & Underwriting, ไม่มีเบี้ยตามอายุรถ, ฝ่ายรับประกันภัยรถยนต์","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ในระบบไม่มีเบี้ยตามอายุรถ” โดย Agent จะไม่คาดเดาวิธีแก้ไข","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Approved","Active"
"KB-014","KB-014","ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท Plus","DSS","Master Data & Underwriting","DSS, Master Data & Underwriting, ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท Plus, ฝ่ายรับประกันภัยรถยนต์","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท Plus” โดย Agent จะไม่คาดเดาวิธีแก้ไข","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Approved","Active"
"KB-015","KB-015","ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3","DSS","Master Data & Underwriting","DSS, Master Data & Underwriting, ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3, ฝ่ายรับประกันภัยรถยนต์","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3” โดย Agent จะไม่คาดเดาวิธีแก้ไข","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Approved","Active"
"KB-016","KB-016","ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3+ หรือ 2+ อุ่นใจ","DSS","Master Data & Underwriting","DSS, Master Data & Underwriting, ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3+ หรือ 2+ อุ่นใจ, ฝ่ายรับประกันภัยรถยนต์","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3+ หรือ 2+ อุ่นใจ” โดย Agent จะไม่คาดเดาวิธีแก้ไข","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Approved","Active"
